,text,polarization,pred_base,prob_0_base,prob_1_base,pred_large,prob_0_large,prob_1_large
11,INTRODUCING VANESSA BLINGGGG AS GAZA SLIMMMM,0,0,0.8017248409858065,0.19827515901419346,1,0.8017248409858065,0.19827515901419346
18,how is this not the election fraud ?,0,1,0.19015668507261876,0.8098433149273813,1,0.19015668507261876,0.8098433149273813
20,"African American Issues Highlighted in ""The Dixiecrat GOP"" Report",1,0,0.8331900545891104,0.16680994541088956,0,0.8331900545891104,0.16680994541088956
23,"""Hamas, Hamas, jude on the gas""",1,0,0.9811067804780838,0.018893219521916246,0,0.9811067804780838,0.018893219521916246
27,Start by not listening to msnbc.,1,0,0.8653252190506958,0.13467478094930416,0,0.8653252190506958,0.13467478094930416
33,"Stop ethnic cleansing, speak up fo Hazara genocide. StopHazaraGenocide",0,1,0.24559836491059403,0.7544016350894059,1,0.24559836491059403,0.7544016350894059
35,Overkill war crimes whether intended or not,0,1,0.19717621859858145,0.8028237814014185,0,0.19717621859858145,0.8028237814014185
50,This is something we all need to investigate for ourselves. Its a coup so dont brush it off as a conspiracy theory. youtu.be0LN65qFUDDo,0,0,0.6073151148701867,0.3926848851298133,1,0.6073151148701867,0.3926848851298133
55,I am boycotting MSNBC until they stop talking about swelling between the anus and genitals.,1,0,0.5528837753360203,0.44711622466397977,0,0.5528837753360203,0.44711622466397977
60,We are illetrate about 5000 thousand things about Dubai since it embraced Zionism,1,0,0.7544554808311266,0.2455445191688734,0,0.7544554808311266,0.2455445191688734
62,"Pierre, Pierre, Pierre, sigh. Youll rail against new spending...except the 1B for border security?",1,1,0.4908008706667789,0.5091991293332211,0,0.4908008706667789,0.5091991293332211
71,Legal immigration is fine. Illegal immigration is wrong.,0,1,0.14330393149147214,0.8566960685085278,1,0.14330393149147214,0.8566960685085278
72,Distracted Joe Biden is not good,0,1,0.0715814428641031,0.9284185571358969,0,0.0715814428641031,0.9284185571358969
74,A small price to pay for Ukrainian sovereignty and our green future. Stop whining.,1,0,0.7774312650428263,0.22256873495717372,0,0.7774312650428263,0.22256873495717372
82,The xenophobia and social anxiety from it now are CRAZY,0,1,0.04333146199757905,0.9566685380024209,1,0.04333146199757905,0.9566685380024209
88,Imperialism is bad. War is bad. Goodnight.,0,1,0.03621862116680575,0.9637813788331941,0,0.03621862116680575,0.9637813788331941
89,Why arent democrats filing injunctions?,1,0,0.8987531118267107,0.10124688817328932,0,0.8987531118267107,0.10124688817328932
90,Is it really the radical left or just the left?,0,1,0.39196209382894914,0.6080379061710508,1,0.39196209382894914,0.6080379061710508
96,are we talking about Zeno... Xenophobia?,1,1,0.3807512441131947,0.6192487558868053,0,0.3807512441131947,0.6192487558868053
97,Lower crime rates in blue states,1,0,0.9325409740531362,0.0674590259468638,0,0.9325409740531362,0.0674590259468638
109,"So, Red socialism instead of Blue socialism.",1,0,0.6262381967714818,0.37376180322851804,1,0.6262381967714818,0.37376180322851804
115,Manufactured votes in swing states.,1,0,0.9596829185401182,0.040317081459881686,0,0.9596829185401182,0.040317081459881686
121,Thats why women are out pacing men in voter registration 3 to 1.,1,0,0.8195642000394818,0.1804357999605181,0,0.8195642000394818,0.1804357999605181
123,Antisemitic propaganda group Goyem TV relocates,0,1,0.1288386679856027,0.8711613320143973,0,0.1288386679856027,0.8711613320143973
126,ArrestSureshChavhanke Arrest this Israeli dog,1,0,0.974287628271557,0.02571237172844288,0,0.974287628271557,0.02571237172844288
128,A federal election fraud felony conviction!,0,1,0.32309738180226266,0.6769026181977373,0,0.32309738180226266,0.6769026181977373
129,Although obviously letting Azovstal prisoners go isnt helping denazification.,1,1,0.14654636429416776,0.8534536357058323,0,0.14654636429416776,0.8534536357058323
132,"""Well said. Multiculturalism enriches societies, and figures like Farage thrive on fear and misinformation. Heres to calling out divisiveness and celebrating diversity instead.""",0,1,0.0825219800863173,0.9174780199136827,0,0.0825219800863173,0.9174780199136827
140,What about sanctioning India which refused to condemn Russian Aggression and still still American IT jobs.,0,0,0.5880850644629191,0.41191493553708086,1,0.5880850644629191,0.41191493553708086
146,The Truth about Border Security the Mainstream Media failed to report. Thank you Joe Kamala,1,0,0.6200719318588455,0.3799280681411545,0,0.6200719318588455,0.3799280681411545
147,Why did the Justice system didnt function? Why after four years of inciting an insurrection he wasnt sentenced?,0,1,0.039129296450610696,0.9608707035493894,1,0.039129296450610696,0.9608707035493894
148,Theyll blame it all the Democrats,0,1,0.0405533391374551,0.9594466608625448,1,0.0405533391374551,0.9594466608625448
152,"If you can participate in an insurrection and not have to suffer any consequences, then I dont need to pay my taxes.",1,0,0.6638950929824917,0.33610490701750834,1,0.6638950929824917,0.33610490701750834
156,Fireworks last night was like the Gaza Strip man,1,0,0.7745653069025349,0.22543469309746508,0,0.7745653069025349,0.22543469309746508
157,Hamas and the American Left The Jewish,0,1,0.4116393992375532,0.5883606007624468,1,0.4116393992375532,0.5883606007624468
158,Not only propaganda apparatus. Intelligence apparatus too,0,0,0.559765613223598,0.44023438677640214,1,0.559765613223598,0.44023438677640214
165,"Free Palestine, Free every opressed person. This isnt a call.",0,1,0.2492512720781162,0.7507487279218837,1,0.2492512720781162,0.7507487279218837
169,Ideology Israeli Nationalism with Draconian Characteristics,1,0,0.6647249552718455,0.3352750447281545,1,0.6647249552718455,0.3352750447281545
171,This the voter fraud you seek??,0,1,0.037144751672857065,0.9628552483271429,0,0.037144751672857065,0.9628552483271429
179,Not just my theory on votes. But the Epstein file is just my personal conspiracy theory.,0,1,0.38342798235999687,0.6165720176400031,0,0.38342798235999687,0.6165720176400031
181,"When even Chip Roy thinks that the GOP has gone too far, thats a sign that the GOP is in freefall.",0,1,0.03560178563048499,0.9643982143695151,0,0.03560178563048499,0.9643982143695151
185,"born in S.Africa, illegal immigration to the U.S. he laughed about it.",1,1,0.1668707780176738,0.8331292219823261,0,0.1668707780176738,0.8331292219823261
206,So Kamala Harris was really drunk wasnt she?,1,0,0.707013755283736,0.292986244716264,1,0.707013755283736,0.292986244716264
207,"This Election Interference you see, is it in the room with us now?",1,0,0.6060884927821045,0.39391150721789553,1,0.6060884927821045,0.39391150721789553
210,"Oh, did I mention the imperialism?",0,1,0.4630495277651555,0.5369504722348445,0,0.4630495277651555,0.5369504722348445
213,Ok snowflake dont cry about it,1,0,0.9179049935071748,0.0820950064928252,1,0.9179049935071748,0.0820950064928252
217,"Dont get too complacent caz it sey inna di Gaza one gone, another one VybzKartel Gaza Saturdaythought",1,0,0.9563619427385895,0.0436380572614105,0,0.9563619427385895,0.0436380572614105
221,Voter suppression and tossed ballots os how they did it,1,1,0.026694132582420472,0.9733058674175794,0,0.026694132582420472,0.9733058674175794
223,From Gaza to US Politics: Deepfake Videos Spreading Misinformation,1,0,0.8164167433241866,0.18358325667581332,0,0.8164167433241866,0.18358325667581332
224,Reminds me of all the vetos on Israel operating an apartheid state.,0,1,0.023557857087597067,0.9764421429124029,1,0.023557857087597067,0.9764421429124029
239,The IDF sanitizing Gaza. The locals should be grateful...,1,1,0.1123721436517616,0.8876278563482383,0,0.1123721436517616,0.8876278563482383
241,Thought voter registration laws were raciest and not allow people to vote. Hmmm. Hows that conspiracy theory working for you.,1,0,0.5417716743164757,0.4582283256835244,1,0.5417716743164757,0.4582283256835244
242,Bidenomics making the world poorer since 1974,1,1,0.23126339420698588,0.7687366057930142,0,0.23126339420698588,0.7687366057930142
243,One thing that really bothered me was that media kept calling all the swing states before counting was completed,0,1,0.47890356603086853,0.5210964339691315,0,0.47890356603086853,0.5210964339691315
248,"My conservative, working class family is currently reading the most hardcore, conspiracy theory, memable content for free.",0,1,0.0856132547839734,0.9143867452160267,1,0.0856132547839734,0.9143867452160267
251,Whenever USA is close to approving the next instalment of Military Aid to Ukraine Russians suddenly find out that they are in War and they had to attack Ukrainian cities This is so organic that it looks natural US defence Industry is indebted to Russia,1,0,0.5128176521052544,0.4871823478947454,1,0.5128176521052544,0.4871823478947454
256,Why did Trump have congress kill a bipartisan border security bill last summer?,1,0,0.7280722338116501,0.27192776618834996,0,0.7280722338116501,0.27192776618834996
258,But theres no such thing as election fraud!,1,1,0.379006240999571,0.620993759000429,0,0.379006240999571,0.620993759000429
259,I doubt border security would let him enter the country.,1,0,0.8927661966455108,0.10723380335448916,0,0.8927661966455108,0.10723380335448916
264,Republicans 2016 No one is above the law Republicans 2022 Only Republicans are above the law,1,0,0.5746420305743585,0.42535796942564147,1,0.5746420305743585,0.42535796942564147
265,"IF YOU DONT LIKE BEING CALLED A CHRISTIAN NATIONALIST, STOP PROMOTING CHRISTIAN NATIONALISM @URL If you havent signed Americans Uniteds pledge affirming your support for churchstate separation, nows the time.",1,0,0.5368348804938942,0.46316511950610595,0,0.5368348804938942,0.46316511950610595
266,IDF attacks surgically on terrorists from hamas.,0,0,0.815076952508257,0.18492304749174301,1,0.815076952508257,0.18492304749174301
